cod_materia;nome_materia;cod_departamento;sigla_departamento;nome_departamento;creditos
157783;Seminario em Teoria;Critica e Historia da Arte 9                      ;163;VIS         ;Departamento de Artes Visuais                     ;4
310298;Seminário em Terapia Ocupacional Hospitalar 1                         ;21;FS          ;Faculdade de Ciencias da Saúde                    ;8
139581;SEMINARIO ESPECIAL DE FILOSOFIA 1                                     ;117;FIL         ;Departamento de Filosofia                         ;4
139599;SEMINARIO ESPECIAL DE FILOSOFIA 2                                     ;117;FIL         ;Departamento de Filosofia                         ;4
375225;Seminário Esporte e Educaçao Física Escolar                           ;29;FEF         ;Faculdade de Educaçao Física                      ;4
319686;Seminário Integrador                                                  ;374;CDT         ;Centro de Apoio ao Desenvolvimento Tecnológico;1
204145;Seminário Integrador                                                  ;25;FACE        ;Faculd. de Economia; Administraçao e Contabilidade;2
300021;Seminário Integrador                                                  ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;4
197505;Seminário Integrador 1                                                ;89;FUP         ;UnB - Faculdade de Planaltina                     ;1
301761;Seminário Integrador 1 - Sustentabilidade                             ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;2
191825;Seminário Integrador 2                                                ;89;FUP         ;UnB - Faculdade de Planaltina                     ;1
198463;Seminário Integrador 2                                                ;89;FUP         ;UnB - Faculdade de Planaltina                     ;1
301655;Seminário Integrador 2 - Interculturalidade e Intercientificidade     ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;2
193844;Seminário Integrador 3                                                ;89;FUP         ;UnB - Faculdade de Planaltina                     ;1
198471;Seminário Integrador 3                                                ;89;FUP         ;UnB - Faculdade de Planaltina                     ;1
301639;Seminário Integrador 3 - Territorialidades                            ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;2
193828;Seminário Integrador 4                                                ;89;FUP         ;UnB - Faculdade de Planaltina                     ;1
198480;Seminário Integrador 4                                                ;89;FUP         ;UnB - Faculdade de Planaltina                     ;1
301604;Seminário Integrador 4 - Questoes Indígenas na Contemporaneidade      ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;2
202860;Seminário Integrador em Saúde Coletiva 1                              ;234;DSC         ;Departamento de Saúde Coletiva                    ;2
202886;Seminário Integrador em Saúde Coletiva 2                              ;234;DSC         ;Departamento de Saúde Coletiva                    ;2
202894;Seminário Integrador em Saúde Coletiva 3                              ;234;DSC         ;Departamento de Saúde Coletiva                    ;3
170887;Seminário Integrativo 1                                               ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
170992;Seminário Integrativo 2                                               ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
180599;Seminário Integrativo 3                                               ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
180874;Seminário Integrativo 4                                               ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
181374;Seminário Integrativo 5                                               ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
201952;Seminário Integrativo 6                                               ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
202029;Seminário Integrativo 7                                               ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
208850;Seminário Integrativo 8                                               ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
300578;Seminário Interdisciplinar                                            ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;4
153940;SEMINARIO INTERDISCIPLINAR 1                                          ;164;CEN         ;Departamento de Artes Cenicas                     ;4
153958;SEMINARIO INTERDISCIPLINAR 2                                          ;164;CEN         ;Departamento de Artes Cenicas                     ;4
307891;Seminário Interdisciplinar de Leitura 1                               ;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  ;2
307904;Seminário Interdisciplinar de Leitura 2                               ;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  ;2
307912;Seminário Interdisciplinar de Leitura 3                               ;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  ;2
308242;Seminário Interdisciplinar de Leitura IV                              ;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  ;2
194611;Seminário Interdisciplinar em Educaçao                                ;23;FE          ;Faculdade de Educaçao                             ;4
209431;Seminário Interdisciplinar em Educaçao Musical 1                      ;165;MUS         ;Departamento de Música                            ;2
209449;Seminário Interdisciplinar em Educaçao Musical 2                      ;165;MUS         ;Departamento de Música                            ;2
192716;Seminário Interdisciplinar em Início de Escolarizaçao 1               ;150;MTC         ;Departamento de Métodos e Técnicas                ;2
