cod_disciplina;nome_disciplina;creditos;cod_departamento;sigla_departamento;nome_departamento
108588;Fundamentos de Redes 2                                                ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
108596;Gerencia de Redes e Sistemas                                          ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
108600;Avaliaçao de Desempenho de Redes e Sistemas                           ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
108618;Tópicos em Biofísica 1                                                ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
108626;Tópicos em Biofísica 1                                                ;4;218;CEL         ;Departamento de Biologia Celular                  
108634;Cálculo Vetorial e Geometria Analítica                                ;4;89;FUP         ;UnB - Faculdade de Planaltina                     
108642;Educaçao e Comunicaçao Comunitária                                    ;4;89;FUP         ;UnB - Faculdade de Planaltina                     
108651;Práticas Avançadas em Neurofarmacologia                               ;6;21;FS          ;Faculdade de Ciencias da Saúde                    
108669;Introduçao á Engenharia Territorial                                   ;4;137;ENC         ;Departamento de Engenharia Civil e Ambiental      
108677;Estágio Supervisionado para Segunda Lic. em Ciencias Naturais 3       ;5;89;FUP         ;UnB - Faculdade de Planaltina                     
108685;Trabalho de Conclusao do Curso 2                                      ;4;89;FUP         ;UnB - Faculdade de Planaltina                     
108693;Humanidade, Ciencia e Tecnologia                                      ;24;89;FUP         ;UnB - Faculdade de Planaltina                     
108707;Pesquisa em Biofísica                                                 ;6;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
108715;Fisioterapia no Tratamento da Dor Crônica Vertebral                   ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
108723;Práticas em Ciencias Ambientais                                       ;4;222;ECL         ;Departamento de Ecologia                          
108731;Fundamentos de Ensino de Química                                      ;2;85;IQD         ;Instituto de Química                              
108740;Trabalho de Conclusao de Curso 2 - Lic em Química                     ;2;85;IQD         ;Instituto de Química                              
108758;Estágio em Regencia no Ensino de Química 1                            ;6;85;IQD         ;Instituto de Química                              
108766;Avaliaçao no Ensino de Química                                        ;2;85;IQD         ;Instituto de Química                              
108774;Aulas de Química em Sala Ambiente                                     ;2;85;IQD         ;Instituto de Química                              
108782;Prática Interdisciplinar em Ensino de Química 2                       ;3;85;IQD         ;Instituto de Química                              
108791;Contexto Escolar e Ensino de Química                                  ;3;85;IQD         ;Instituto de Química                              
