sigla_departamento;nome_departamento;cod_faculdade;nome_faculdade;cod_materia;periodo;prioridade
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;208744;4;18
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;208752;4;19
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;208761;4;20
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;208779;4;21
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;208787;4;22
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;208795;4;23
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;208809;4;24
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;122360;4;25
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;101036;5;25
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;101044;5;26
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;101052;5;27
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;206458;5;28
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;102946;6;29
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;102954;6;30
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;102962;6;31
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;102971;6;32
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;102989;6;33
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;102997;6;34
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;104612;7;35
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;104621;7;36
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;104639;7;37
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;104647;7;38
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;104655;7;39
CET         ;Centro de Excelência em Turismo                   ;1520;Turismo                                                               ;104663;7;40
