id_objeto,id_sujeito,id_termo,id_objeto_tipo,desc_objeto,id_coluna
48388,39430,4,2,"UnB - Faculdade da Ceilândia",21
48389,39431,14,1,"Processos Cognitivos: Aplicaçoes em Fisioterapia",17
48390,39431,28,1,2,18
48391,39431,4,2,"UnB - Faculdade da Ceilândia",21
48392,39432,14,1,"Prática da Fisioterapia Baseada em Problemas",17
48393,39432,28,1,2,18
48394,39432,4,2,"UnB - Faculdade da Ceilândia",21
48395,39433,14,1,"Tópicos Avançados em Patologia Humana",17
48396,39433,28,1,4,18
48397,39433,4,2,"UnB - Faculdade da Ceilândia",21
48398,39434,14,1,"Biologia Regenerativa",17
48399,39434,28,1,3,18
48400,39434,4,2,"Departamento de Genética e Morfologia",21
48401,39435,14,1,"Materiais em Ilustraçao Científica",17
48402,39435,28,1,4,18
48403,39435,4,2,"Instituto de Ciencias Biológicas",21
48404,39436,14,1,"Biologia do Câncer",17
48405,39436,28,1,4,18
48406,39436,4,2,"Departamento de Genética e Morfologia",21
48407,39437,14,1,"Biologia Quantitativa",17
48408,39437,28,1,6,18
48409,39437,4,2,"Direçao do Instituto Ciencias Biológicas",21
48410,39438,14,1,"Segurança e Saúde no Trabalho",17
48411,39438,28,1,4,18
48412,39438,4,2,"Departamento de Engenharia de Produçao",21
48413,39439,14,1,"Cinética, Processos e Operaçoes Unitárias",17
48414,39439,28,1,4,18
48415,39439,4,2,"Departamento de Engenharia Civil e Ambiental",21
48416,39440,14,1,"Aspectos Econômicos da Engenharia Ambiental",17
48417,39440,28,1,2,18
48418,39440,4,2,"Departamento de Engenharia Civil e Ambiental",21
48419,39441,14,1,"Saúde, Saneamento e Meio Ambiente",17
48420,39441,28,1,2,18
48421,39441,4,2,"Departamento de Engenharia Civil e Ambiental",21
48422,39442,14,1,"Eletricidade Básica",17
48423,39442,28,1,4,18
48424,39442,4,2,"Departamento de Engenharia Elétrica.",21
48425,39443,14,1,"Laboratório de Eletricidade Básica",17
48426,39443,28,1,2,18
48427,39443,4,2,"Departamento de Engenharia Elétrica.",21
48428,39444,14,1,"Anatomia e Fisiologia Vegetal",17
48429,39444,28,1,4,18
48430,39444,4,2,"UnB - Faculdade de Planaltina",21
48431,39445,14,1,"Tópicos Especiais em Biológia",17
48432,39445,28,1,4,18
48433,39445,4,2,"UnB - Faculdade de Planaltina",21
48434,39446,14,1,"Planejamento e Avaliaçao Socioambiental",17
48435,39446,28,1,4,18
48436,39446,4,2,"Centro de Desenvolvimento Sustentável",21
48437,39447,14,1,"Planejamento e Gestao em Turismo 1",17
48438,39447,28,1,4,18
48439,39447,4,2,"Centro de Excelencia em Turismo",21
48440,39448,14,1,"Legislaçao Turística",17
48441,39448,28,1,2,18
48442,39448,4,2,"Centro de Excelencia em Turismo",21
48443,39449,14,1,"Estágio Supervisionado 1",17
48444,39449,28,1,4,18
48445,39449,4,2,"Centro de Excelencia em Turismo",21
48446,39450,14,1,"Princípios da Técnica Cirúrgica",17
48447,39450,28,1,4,18
48448,39450,4,2,"Departamento de Odontologia",21
48449,39451,14,1,"Clínica Odontológica 6",17
48450,39451,28,1,12,18
48451,39451,4,2,"Departamento de Odontologia",21
48452,39452,14,1,"Contrataçao de Serviços de Tecnologia da Informaçao",17
48453,39452,28,1,4,18
48454,39452,4,2,"UnB - Faculdade do Gama",21
48455,39453,14,1,"Compiladores 1",17
48456,39453,28,1,4,18
48457,39453,4,2,"UnB - Faculdade do Gama",21
48458,39454,14,1,"Técnicas de Mediçao Funcional e Estimativas de Software",17
48459,39454,28,1,4,18
48460,39454,4,2,"UnB - Faculdade do Gama",21
48461,39455,14,1,"Fundamentos de Equaçoes Diferenciais para Engenharia",17
48462,39455,28,1,4,18
48463,39455,4,2,"UnB - Faculdade do Gama",21
48464,39456,14,1,"Confiabilidade de Componentes e Sistemas",17
48465,39456,28,1,4,18
48466,39456,4,2,"UnB - Faculdade do Gama",21
48467,39457,14,1,"Sistemas Aeroespaciais",17
48468,39457,28,1,4,18
48469,39457,4,2,"UnB - Faculdade do Gama",21
48470,39458,14,1,"Trabalho de Conclusao de Curso 1",17
48471,39458,28,1,4,18
48472,39458,4,2,"UnB - Faculdade do Gama",21
48473,39459,14,1,"Estágio em Extensao 1",17
48474,39459,28,1,4,18
48475,39459,4,2,"Direçao do Instituto Ciencias Biológicas",21
