nome_departamento;sigla_departamento;cod_faculdade;cod_materia;periodo_disciplina;prioridade;cod_fluxo
Departamento de Administraçăo                     ;ADM         ;1546;205168;8;45;1546205168
Departamento de Administraçăo                     ;ADM         ;1546;207039;8;46;1546207039
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181129;1;1;507181129
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;113018;1;2;507113018
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;140481;1;2;507140481
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;184021;1;2;507184021
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;132012;1;3;507132012
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181684;2;2;507181684
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186287;2;2;507186287
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181013;2;3;507181013
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;115011;2;4;507115011
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;134465;2;4;507134465
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181137;3;3;507181137
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;132144;3;5;507132144
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186279;3;5;507186279
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181722;4;4;507181722
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186244;4;4;507186244
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186210;4;5;507186210
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;184080;4;6;507184080
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181242;5;5;507181242
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186295;5;5;507186295
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;184691;5;6;507184691
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186716;5;6;507186716
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181641;6;6;507181641
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186261;6;6;507186261
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181757;6;7;507181757
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186759;6;7;507186759
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181650;7;7;507181650
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181846;7;8;507181846
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186350;7;8;507186350
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;181862;7;10;507181862
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186317;8;8;507186317
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;187208;8;8;507187208
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;187216;8;8;507187216
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;507;186724;9;11;507186724
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;113018;1;1;809113018
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;147389;1;2;809147389
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;184021;1;3;809184021
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181129;1;4;809181129
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181684;2;2;809181684
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186287;2;2;809186287
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;132012;2;3;809132012
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181013;2;3;809181013
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181137;3;3;809181137
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;115011;3;4;809115011
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;134465;3;4;809134465
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181722;4;4;809181722
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186244;4;4;809186244
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;132144;4;5;809132144
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186279;4;5;809186279
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181242;5;5;809181242
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186210;5;5;809186210
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186295;5;5;809186295
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181641;6;6;809181641
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186261;6;6;809186261
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186716;6;6;809186716
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181650;7;7;809181650
