cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_materia
664048;A ;2;20181;993492;302643
664049;B ;20;20181;1055054;384551
664050;A ;10;20181;309087;372064
664051;A ;10;20181;1097504;372111
664052;A ;15;20181;1013980;395102
664053;C ;1;20181;1027433;380024
664054;A ;5;20181;149845;386928
664055;A ;2;20181;309087;395048
664056;B ;10;20181;1051474;372064
664057;B ;30;20181;1060457;369250
664059;A ;15;20181;148814;369250
664061;A ;10;20181;1097504;372609
664063;B ;10;20181;1051474;372609
664064;A ;1;20181;1076485;340693
664065;T ;1;20181;1038354;361585
664066;F ;10;20181;1042645;343579
664067;G ;10;20181;826685;343471
664068;A ;27;20181;995541;333867
664069;E ;1;20181;1020935;372854
664070;A ;30;20181;1096109;192597
664071;C ;10;20181;1109022;379018
664072;A ;2;20181;1040421;395111
664073;AM;10;20181;1057031;309630
664075;ML;3;20181;150924;361585
664076;FH;10;20181;1089820;309630
664077;A ;1;20181;1057294;398195
664078;JM;10;20181;1012321;309630
664079;OR;10;20181;1021052;309630
664080;LB;10;20181;150011;309630
664081;C ;1;20181;1013980;372633
664082;B ;110;20181;1072536;181374
664083;CG;10;20181;1048431;309630
664084;A ;45;20181;1100700;111520
664085;MP;1;20181;1083805;367150
664086;BK;10;20181;613878;309630
664088;CM;4;20181;997315;146722
664089;EP;4;20181;1099426;146722
664092;A ;20;20181;1051059;304514
664093;PR;4;20181;1017641;146722
664094;D ;1;20181;1048848;380024
664095;PR;4;20181;1017641;150100
664103;OD;10;20181;1055801;309630
664106;B ;20;20181;1100661;102610
664108;OC;10;20181;510513;309630
664109;A ;60;20181;1064045;200590
664110;LC;10;20181;1064363;309630
664111;MC;10;20181;148326;309630
664112;RG;10;20181;1018787;309630
664114;RM;10;20181;1103164;309630
664116;N ;100;20181;1110446;132012
664117;B ;15;20181;1106805;150037
664118;A ;50;20181;1107402;202240
664119;H ;10;20181;1052811;343471
664120;B ;36;20181;1063201;115347
664121;I ;10;20181;1071173;343471
664122;E ;10;20181;136743;343269
664123;G ;10;20181;136743;343579
664124;D ;10;20181;136743;343587
