sigla_departamento;nome_departamento;cod_curso;nome_curso;vigencia_inicio;vigencia_fim;cod_habilitacao;nome_habilitacao;vigencia_habilitacao_inicio;vigencia_opcao_fim;cod_disciplina;periodo;prioridade
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186317;8;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;187208;8;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;187216;8;8
CCA         ;Depto de Ciências Contábeis e Atuariais           ;507;Ciências Contábeis                                                    ;19921;-;8516;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186724;9;11
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;113018;1;1
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;147389;1;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;184021;1;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181129;1;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181684;2;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186287;2;2
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;132012;2;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181013;2;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181137;3;3
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;115011;3;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;134465;3;4
